WKT,OBJECTID
"MULTILINESTRING ((772565.057673649 82353.6580984747,772558.154080402 82363.0572875772,772568.386367995 82377.5566725299,772589.77154451 82378.8946728671,772597.341736211 82379.2325731374,772603.138229809 82380.0147727678,772610.816320744 82387.9845646697,772634.736991099 82429.4856211515,772650.636469843 82475.4053721073,772656.206463316 82480.6106668685,772699.933910387 82541.4757037791,772698.147111748 82548.4479959764,772661.11964426 82642.4656896812,772658.326845627 82662.3733675983,772660.444743154 82664.2570657104,772663.00134019 82666.252063739,772646.177856825 82686.9309396236,772626.000676732 82712.2537101272,772606.170396494 82734.8132836935,772617.739582951 82745.4373730147,772624.643774862 82751.8581665542,772612.832986 82772.7623426139,772585.637213756 82795.976214836,772521.474080247 82838.8653623335,772507.653394555 82848.2604508537))","8215"
"MULTILINESTRING ((734792.475497282 77380.2120719219,734795.027493551 77391.7184592219,734790.571197729 77402.1089472344,734791.680296227 77405.5396434728,734793.980786524 77498.5553393995,734795.596675397 77620.0043034028,734769.870803266 77631.0527890441,734726.774350046 77648.3976662915,734744.898125021 77710.6781978773,734710.929561742 77726.3677776801,734669.055107072 77744.8257537721))","8219"
"MULTILINESTRING ((766601.736107949 90399.8692332505,766598.738612438 90386.366347865))","8225"
"MULTILINESTRING ((770566.702235591 79023.9101874,770558.135945433 79018.1471930284,770554.338448388 79032.7499766779))","8234"
"MULTILINESTRING ((761253.518447941 88567.7626851514,761270.219128508 88579.8355732615,761301.06749449 88580.5115751974,761388.110693645 88638.3098188927,761490.213779692 88656.2920079107))","8243"
"MULTILINESTRING ((761496.028476067 88624.4353436244,761493.12647798 88639.1490271109,761493.012877863 88641.9121240472))","8244"
"MULTILINESTRING ((767880.434611837 91442.0871990715,767940.455644845 91454.9570902771,767963.516016028 91494.2372490819,767963.833515429 91497.0153460506))","8247"
"MULTILINESTRING ((739175.496183488 72449.6156200023,739175.608183361 72449.6157200106,739177.390281287 72450.8310187855,739212.124242058 72458.5872126909))","8264"
"MULTILINESTRING ((734597.761694957 76327.8210365554,734599.320393199 76328.0429364242,734594.755498313 76327.8197363283,734553.472248683 76271.3925964348,734521.988688364 76211.6516610014,734505.396906586 76215.6261552886,734189.182559414 76218.3620282293,734188.064359847 76229.0902161179,734176.819072456 76228.4216160155,734175.153575122 76217.8028277922,734150.324202837 76217.9024257966,733894.793588227 76217.2366071663,733885.440498614 76218.0067055929,733881.654502791 76218.668604564,733869.74081608 76218.8846034186,733850.701537385 76218.3232026045,733738.135263237 76216.5037961123,733743.363856626 76226.6817850949,733729.780171805 76226.565184196,733729.339573121 76215.725696317,733467.241066038 76213.3980790641,733455.327579364 76213.1716784165,733336.637111976 76212.7875698545,733328.843320709 76212.4522696416,733326.932623599 76202.4638806983))","8273"
"MULTILINESTRING ((720316.564453076 71497.786319693,720304.205866416 71505.6333099528))","8275"
"MULTILINESTRING ((769436.347763826 90795.2954504408,769430.998769617 90796.0711491083,769439.567058745 90812.6655316143,769432.987864815 90825.3838170314,769427.860269999 90830.2491112188,769424.291973534 90834.4567062708,769423.291674393 90837.1082032629,769421.509276404 90836.4395038396,769411.15008669 90848.3859897669))","8285"
"MULTILINESTRING ((764007.043827459 88473.3292294114,764008.157726283 88472.7767301177,764007.044727602 88471.6698312417,764005.60082975 88465.2527381975,764005.269030463 88461.2700425639,764005.610931264 88447.7738574871))","8287"
"MULTILINESTRING ((762315.453346717 90080.947605971,762312.998549409 90081.0576056348,762312.550449884 90081.2706053593,762298.074866045 90078.6101070227,762294.957569514 90078.1633072428,762280.705485325 90076.7177075841,762273.911291544 90090.9839912222,762256.089810697 90096.1753839172,762187.85319062 90041.2704385704,762180.07840203 90008.8495737067,762186.218997921 89978.7642074884,762190.784393074 89976.7732100899,762190.457793432 89976.7731100611))","8290"
"MULTILINESTRING ((776580.671986443 80023.4998891326,776614.757049702 80018.5388974049))","8291"
"MULTILINESTRING ((771394.235432326 83785.1316277144,771373.53695734 83757.2409565826))","8295"
"MULTILINESTRING ((771885.909226567 83409.9254815638,771912.086398835 83399.4301953118,771917.306490973 83424.7676679389,771905.720803124 83430.8459602794,771900.477707511 83446.6632424691,771897.246010738 83450.3123381878))","8307"
"MULTILINESTRING ((776616.656348289 80010.6854061593,776613.639849961 80030.0463847171,776595.034270133 80031.3622817249))","8308"
"MULTILINESTRING ((776967.147654318 77738.2138217083,776981.500636576 77763.8900947953,776981.609736002 77769.4169887594))","8309"
"MULTILINESTRING ((716332.976320595 74543.2272897598,716328.517825986 74538.2568950632))","8311"
"MULTILINESTRING ((773124.48396197 81169.6370444769,773124.834961583 81169.7090444285,773125.33296097 81170.5020435996,773125.413660903 81170.2534438788),(773124.48396197 81169.6370444769,773120.095966486 81172.9070405242,773119.846966736 81173.2140401651,773119.044367658 81172.6675406979,773116.306770844 81170.3480430135,773113.09087456 81167.8985454309,773104.473984376 81163.0794499954,773100.400589204 81158.6103545553,773098.493991386 81157.3969557258,773097.863992124 81156.8019563272,773080.312012781 81139.078974296,773079.906013255 81138.6909746874,773065.190030594 81123.6029900056,773064.640031232 81123.1639904414,773058.784038126 81117.2149964757,773016.746987631 81074.398039923,772989.310022639 81014.1980036612,772984.799033412 80944.2799799757,773001.484018809 80900.9130289397,773004.498016133 80893.5400372794,773034.989983799 80881.8639526327,773037.234981452 80880.579954229,773043.873975778 80861.6929754996,773045.343974538 80857.3259804121,773045.451974443 80857.0559807173),(773124.48396197 81169.6370444769,773142.954043237 81152.4229649046,773149.991035862 81148.6699696097,773151.154034652 81147.9719704743,773175.924008365 81138.771982637,773199.369983488 81130.0129942073,773206.78797522 81131.9849926663,773242.595035289 81141.775984926,773253.771022845 81144.6089827552,773260.655015056 81147.8169798119,773262.231013168 81149.8189777484,773290.267981322 81164.4139640907,773327.677038949 81182.4669474248,773332.719034045 81175.2769557331),(773332.492034678 81170.6869607476,773335.418031534 81170.0789616588,773337.04502979 81169.6809622308,773346.139020199 81165.609967459,773348.237717994 81164.5529687941),(773335.418031534 81170.0789616588,773335.796030971 81171.8639597333,773335.641031132 81171.9719596025,773334.788032032 81172.3429591239,773332.71553405 81175.2814557276))","8312"
"MULTILINESTRING ((773120.281866397 81171.5858419886,773122.398963961 81173.0720405351),(773046.45027372 80852.6589856233,773039.098980102 80872.3769633824,773036.211982475 80881.7359528752,773033.582985269 80882.6559516462,773004.687015883 80894.0600367247,773001.895018365 80900.8520290404,772984.861033336 80944.3699798823,772986.892028581 80974.723946757,772989.782022126 81014.1700037308,772998.870010514 81034.2979824135,773017.072987285 81074.2680400933,773059.009037891 81117.0849966378,773065.047030788 81123.1649904747,773065.419030347 81123.5779900516,773079.95501323 81138.3549750609,773080.495012602 81138.8259745902,773098.273991722 81156.2359569811,773098.982990902 81156.7959564268,773100.9942886 81158.0404552303,773105.98298287 81161.3997519635,773114.030973608 81167.0087464843,773117.395269731 81169.4182441242,773120.29776638 81171.5978419771))","8313"
"MULTILINESTRING ((773039.098980102 80872.3769633824,773038.811980424 80872.2859634577,773039.128780171 80871.1719647062,773039.70497968 80869.5049665837,773044.323975712 80856.614981107,773045.552974721 80852.3919858408))","8314"
"MULTILINESTRING ((769198.286178233 86783.5094431922,769197.176379582 86781.9603447994,769196.504880416 86780.8565459546,769195.618981518 86779.2981475929,769183.151995755 86772.6608538112))","8315"
"MULTILINESTRING ((772897.824883617 79073.764824347,772898.336183065 79073.6748244878,772903.58047769 79069.3857296234,772912.65086848 79060.9274396466,772903.58047769 79069.3857296234),(772914.951466126 79059.0078419412,772912.65086848 79060.9274396466))","8320"
"MULTILINESTRING ((772936.456737476 79121.6449750185,772934.931239424 79118.245678621,772933.776841691 79106.0281919253,772935.747640604 79093.0908062756,772936.423740414 79086.4322136336,772937.141139919 79082.9329175304))","8321"
"MULTILINESTRING ((772939.037637841 79083.0129175993,772938.312038314 79086.8921132852,772937.281338924 79093.1508063368,772934.939540421 79106.0581919873,772933.422241333 79115.076381973,772933.018241554 79117.7457790117))","8322"
MULTILINESTRING EMPTY,"8328"
"MULTILINESTRING ((737076.475822453 75108.3790899549,737093.622602156 75124.0915736655,737095.953899239 75128.2923691404,737116.54287482 75147.7706488995,737124.108365803 75155.5151408042,737128.120061117 75158.3909378886))","8334"
"MULTILINESTRING ((775505.734507199 84175.1294517305,775485.460029449 84173.6713515852,775463.973153228 84169.7920539891,775455.066264128 84156.0717682593,775312.422523021 84118.4796971967,775311.311424214 84118.701596857))","8335"
"MULTILINESTRING ((764531.70504094 87438.7231165393,764507.437569224 87420.015735072,764498.519078347 87427.753225763,764490.384786637 87435.2686167672,764484.929892084 87441.5708093435))","8345"
"MULTILINESTRING ((774409.360915025 81692.3309792808,774418.493205472 81687.3563855011))","8347"
"MULTILINESTRING ((762152.074325562 88951.6003393365,762172.466505568 88923.6185720316))","8348"
"MULTILINESTRING ((775217.794508188 80794.6147308618,775188.789741713 80772.1847530042))","8349"
